,word,pos,freq,p
0,that,comp,1.0,0.03571428571428571
1,a,det,1.0,0.03571428571428571
2,the,det,1.0,0.03571428571428571
3,woman,n,1.0,0.03571428571428571
4,dog,n,1.0,0.03571428571428571
5,goat,n,1.0,0.03571428571428571
6,president,n,1.0,0.03571428571428571
7,bird,n,1.0,0.03571428571428571
8,colleague,n,1.0,0.03571428571428571
9,mother,n,1.0,0.03571428571428571
10,toddler,n,1.0,0.03571428571428571
11,scientist,n,1.0,0.03571428571428571
12,child,n,1.0,0.03571428571428571
13,farmer,n,1.0,0.03571428571428571
14,painter,n,1.0,0.03571428571428571
15,cat,n,1.0,0.03571428571428571
16,loves,v,1.0,0.03571428571428571
17,discovers,v,1.0,0.03571428571428571
18,reveals,v,1.0,0.03571428571428571
19,notices,v,1.0,0.03571428571428571
20,assumes,v,1.0,0.03571428571428571
21,indicates,v,1.0,0.03571428571428571
22,finds,v,1.0,0.03571428571428571
23,senses,v,1.0,0.03571428571428571
24,guarantees,v,1.0,0.03571428571428571
25,teaches,v,1.0,0.03571428571428571
26,hears,v,1.0,0.03571428571428571
27,understands,v,1.0,0.03571428571428571
